status,time,type,location,url,description
,2021/11/12 16:30-17:30,presentation,北海道大学,https://www2.sci.hokudai.ac.jp/dept/math/event/7622,偏微分方程式セミナー
,2020/12/8 10:30-11:30,presentation,OIST,https://groups.oist.jp/aoms/mini-symposium,Partial Differential Equations under Various Metrics
,2020/11/21-23,vacation,名古屋,,
#,2020/3/22-29,trip,ポーランド・ワルシャワ,,
,2020/2/15-17,vacation,宮崎,,
,2020/2/7 11:10-12:00,presentation,Kyoto University,https://www.math.kyoto-u.ac.jp/~k.takao/KTGU/5thWorkshop/,The 5th KTGU Mathematics Workshop for Young Researchers
,2019/12/31-2020/1/2,vacation,東京,,
,2019/12/21-22,trip,東京,,
,2019/9/24-25,vacation,,,
,2019/9/21-22,trip,東京,,
,2019/8/10-12,vacation,東京,,
,2019/8/3-4,vacation,松山,,
,2019/6/16-18,trip,東京,,
,2019/5/10 15:30-17:30,presentation,京都大学,https://www.math.kyoto-u.ac.jp/ja/event/seminar/3895,NLPDEセミナー
,2019/5/2-5,vacation,東京,,
,2019/3/14-16,trip,京都,,
,2019/2/12,trip,京都,,
,2019/1/28-2/1,vacation,アメリカ・ハワイ,,
,2018/11/22-24,trip,仙台,,
